rank,language,name,requests_per_second,description
149,PHP,"webman",3210900,"webman [webman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1092]"
150,Java,"light-4j",3152347,"None [light-4j] (light-4j; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #823]"
151,Perl,"feersum",3145040,"feersum [feersum] (None; feersum on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1384]"
152,Perl,"feersum",3132522,"feersum [feersum-mysql] (None; feersum on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1385]"
153,Crystal,"kemal",3111473,"kemal [kemal] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #472]"
154,C#,"aspnetcore-mvc",3043963,"asp.net core [mvc] [aspnetcore-mvc] (.NET; kestrel on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #603]"
155,C,"nginx-njs",2920487,"Nginx-njs [nginx-njs] (None; nginx on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1308]"
156,Java,"micronaut",2884144,"micronaut [micronaut] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #832]"
157,Java,"jooby-jetty",2883908,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
158,Python,"falcon [socketify.py wsgi pypy3]",2869384,"Falcon [socketify.py WSGI PyPy3] [falcon-socketify-wsgi-pypy3] (wsgi; socketify.py on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1243]"
159,Rust,"trillium",2850770,"Trillium [trillium] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1203]"
160,Crystal,"amber",2780132,"amber [amber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #588]"
161,Java,"hserver",2758921,"hserver [hserver] (hserver; hserver on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1140]"
162,Rust,"trillium [tokio]",2757392,"Trillium [tokio] [trillium-tokio] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1456]"
163,C,"facil.io",2712410,"facil.io [facil.io] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #709]"
164,Rust,"trillium [async-std]",2709809,"Trillium [async-std] [trillium-async-std] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1455]"
165,Rust,"salvo",2692195,"Salvo [salvo] (Rust; hyper on Linux; None on Linux; Micro ORM; Micro class; Realistic approach) [Test #1188]"
166,Java,"hserver-business",2630693,"hserver-business [hserver-business] (hserver-business; hserver-business on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1392]"
167,JavaScript,"spliffy",2586736,"spliffy [spliffy] (nodejs; µws on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1195]"
168,C++,"treefrog-epoll",2573790,"treefrog [treefrog-epoll] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #483]"
169,typescript,"ditsmod-bun v3.0",2549317,"ditsmod-bun v3.0 [ditsmod-bun] (bun; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1375]"
170,Java,"spring-webflux-mongo",2512829,"spring-webflux-mongo [spring-webflux-mongo] (Netty; None on Linux; MongoDB on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1450]"
171,Java,"spring-webflux-r2dbc",2464711,"spring-webflux-r2dbc [spring-webflux] (Netty; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1449]"
172,PHP,"ubiquity-ngx-micro",2442006,"ubiquity-ngx-micro [ubiquity-ngx-micro] (ngx_php; nginx on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1205]"
173,Kotlin,"pellet",2420812,"Pellet [pellet] (None; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1179]"
174,PHP,"php-workerman",2389569,"php-workerman [php-workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1315]"
175,Java,"jetty",2340938,"None [jetty] (Jetty; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #227]"
176,PHP,"open swoole",2336289,"Open Swoole [openswoole] (openswoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1176]"
